hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,236,2016,September,1,6,3,5,3,1,1,HB,USA,Online TA,TA/TO,1,0,3,G,D,1,No Deposit,2,345.0,13,Transient,149.46,1,1,Check-Out,2015-08-19
Resort Hotel,1,42,2016,September,4,14,2,1,1,1,1,Undefined,Other,Direct,Corporate,1,0,2,E,D,0,Non Refund,106,619.0,9,Transient-Party,149.46,0,2,No-Show,2015-04-22
City Hotel,0,23,2016,August,15,10,0,8,1,0,1,HB,USA,Corporate,Corporate,0,1,1,D,E,0,No Deposit,172,824.0,11,Transient,149.46,1,4,Canceled,2015-07-11
Resort Hotel,1,40,2015,May,33,9,4,1,2,0,0,FB,USA,Direct,GDS,1,2,0,D,F,0,Refundable,244,579.0,3,Group,149.46,2,1,Canceled,2015-06-11
Resort Hotel,1,295,2017,August,52,19,2,9,4,2,0,BB,BRA,Offline TA/TO,Direct,0,0,2,G,G,1,No Deposit,462,489.0,19,Contract,149.46,2,3,Canceled,2017-07-04
Resort Hotel,1,146,2015,May,5,14,2,3,3,0,1,HB,Other,Offline TA/TO,TA/TO,1,1,3,C,G,0,Refundable,293,438.0,2,Transient,149.46,0,5,No-Show,2015-09-20
City Hotel,1,388,2016,June,46,22,1,3,4,2,0,Undefined,USA,Offline TA/TO,Corporate,0,2,1,A,C,4,Non Refund,49,274.0,7,Transient-Party,149.46,0,3,Canceled,2017-12-14
City Hotel,0,245,2015,September,28,6,0,9,2,0,1,HB,ITA,Online TA,Corporate,1,2,4,F,F,4,Refundable,393,794.0,2,Transient-Party,149.46,1,5,No-Show,2017-06-25
Resort Hotel,1,278,2015,December,3,6,4,4,3,0,1,SC,USA,Online TA,Direct,1,1,0,D,B,1,No Deposit,74,194.0,6,Transient,149.46,1,1,No-Show,2015-01-06
City Hotel,1,134,2016,August,17,18,3,6,1,0,0,HB,FRA,Online TA,GDS,0,2,1,D,C,1,No Deposit,300,471.0,3,Group,149.46,1,1,Canceled,2017-09-03
City Hotel,0,2,2016,July,2,25,2,6,4,1,1,SC,PRT,Corporate,Corporate,0,1,0,D,C,0,Refundable,380,358.0,17,Transient,149.46,0,0,Canceled,2015-05-31
City Hotel,0,366,2015,January,10,31,3,2,2,1,1,Undefined,ITA,Corporate,TA/TO,1,1,2,A,C,2,Refundable,426,429.0,3,Transient,149.46,0,3,Canceled,2016-02-21
Resort Hotel,1,24,2015,August,26,20,2,1,2,2,1,HB,BRA,Online TA,Corporate,0,1,2,B,F,4,Refundable,59,663.0,13,Group,149.46,1,5,Canceled,2015-05-16
City Hotel,1,343,2016,April,25,18,2,10,2,2,0,HB,PRT,Corporate,GDS,0,1,3,E,C,4,No Deposit,83,95.0,16,Transient-Party,149.46,0,1,No-Show,2015-08-10
Resort Hotel,0,49,2016,July,11,9,3,3,2,0,0,HB,NLD,Corporate,Direct,0,0,3,G,A,1,Non Refund,310,40.0,18,Group,149.46,1,5,No-Show,2017-04-30
City Hotel,0,63,2015,December,17,22,4,3,2,2,0,BB,USA,Direct,Direct,0,1,2,D,F,0,Refundable,165,511.0,2,Group,149.46,2,5,No-Show,2017-01-12
Resort Hotel,1,215,2015,June,52,11,3,7,1,0,1,SC,USA,Corporate,Direct,0,1,2,E,G,4,Non Refund,252,225.0,13,Group,149.46,2,4,Check-Out,2017-04-05
Resort Hotel,1,197,2017,October,25,7,3,7,1,2,1,HB,ESP,Offline TA/TO,GDS,1,0,0,G,G,0,Refundable,178,881.0,8,Transient-Party,149.46,1,5,Canceled,2016-09-05
City Hotel,1,131,2015,March,27,29,1,6,1,1,1,SC,BRA,Direct,GDS,0,1,1,D,C,0,Refundable,239,744.0,17,Group,149.46,2,0,Canceled,2017-03-15
Resort Hotel,1,276,2015,July,46,13,2,8,4,1,0,SC,PRT,Corporate,GDS,0,1,3,E,B,0,No Deposit,101,765.0,7,Group,149.46,1,2,No-Show,2016-10-18
Resort Hotel,0,106,2015,August,36,18,3,9,1,0,0,SC,NLD,Corporate,TA/TO,1,0,4,D,E,4,No Deposit,8,452.0,11,Transient,149.46,0,2,No-Show,2015-05-27
Resort Hotel,1,44,2017,August,11,5,1,6,4,0,1,SC,NLD,Corporate,Direct,0,2,0,C,A,2,Refundable,108,388.0,4,Transient-Party,149.46,1,2,Check-Out,2015-09-02
City Hotel,1,315,2015,November,9,19,1,8,2,0,1,SC,ITA,Direct,Direct,0,2,4,C,E,0,Refundable,347,387.0,18,Transient,149.46,2,0,No-Show,2016-03-28
City Hotel,1,222,2017,March,35,20,3,7,2,0,1,Undefined,FRA,Corporate,TA/TO,0,0,3,D,C,4,Refundable,193,8.0,6,Group,149.46,1,5,Check-Out,2017-03-18
Resort Hotel,0,293,2017,April,24,11,2,4,3,0,0,BB,ESP,Offline TA/TO,GDS,0,0,2,B,D,2,Non Refund,91,996.0,18,Transient-Party,149.46,0,3,Check-Out,2017-08-07
Resort Hotel,0,246,2017,March,14,16,2,5,2,1,0,SC,ESP,Offline TA/TO,TA/TO,0,2,0,A,A,4,Refundable,442,598.0,8,Transient,149.46,0,5,Check-Out,2017-08-23
Resort Hotel,1,179,2017,February,40,16,1,9,1,0,1,BB,FRA,Corporate,Direct,1,2,3,D,E,2,No Deposit,493,736.0,7,Transient,149.46,1,0,Check-Out,2016-11-14
City Hotel,1,203,2017,July,29,20,0,6,1,1,0,Undefined,USA,Corporate,TA/TO,1,0,0,F,F,0,Non Refund,352,211.0,17,Transient-Party,149.46,0,2,No-Show,2017-03-02
City Hotel,0,49,2017,May,24,6,1,9,4,0,1,Undefined,NLD,Online TA,TA/TO,0,0,0,A,G,1,No Deposit,384,406.0,18,Transient-Party,149.46,1,1,Canceled,2016-03-21
Resort Hotel,1,245,2017,August,35,30,2,6,1,2,1,FB,ITA,Offline TA/TO,TA/TO,1,1,4,D,D,3,No Deposit,100,544.0,19,Contract,149.46,0,2,No-Show,2015-10-12
City Hotel,0,136,2015,August,43,6,2,8,2,0,0,BB,ESP,Offline TA/TO,Corporate,1,1,3,F,A,4,Non Refund,33,558.0,12,Transient-Party,149.46,2,3,Check-Out,2015-07-21
City Hotel,0,5,2016,October,50,12,0,9,1,2,1,SC,NLD,Corporate,TA/TO,0,0,0,D,G,0,No Deposit,373,770.0,18,Group,149.46,1,2,Canceled,2016-02-02
Resort Hotel,0,298,2016,March,22,29,4,8,2,0,0,SC,PRT,Online TA,Corporate,0,1,0,F,B,3,Non Refund,125,509.0,10,Contract,149.46,0,2,Canceled,2016-02-11
City Hotel,1,15,2015,September,47,23,3,9,4,1,0,HB,BRA,Online TA,Direct,0,0,4,B,B,3,Non Refund,401,779.0,9,Contract,149.46,2,3,No-Show,2015-01-31
City Hotel,1,114,2017,September,41,23,3,8,2,2,0,BB,FRA,Offline TA/TO,TA/TO,1,1,2,C,E,0,Non Refund,148,920.0,12,Transient-Party,149.46,0,5,Canceled,2016-09-17
City Hotel,0,127,2016,April,50,10,0,1,2,1,0,FB,FRA,Corporate,Direct,1,1,1,G,B,4,No Deposit,459,748.0,13,Contract,149.46,0,5,Canceled,2017-04-11
City Hotel,1,92,2016,November,11,30,0,7,1,0,0,BB,NLD,Offline TA/TO,GDS,0,1,0,B,C,1,No Deposit,455,350.0,5,Transient,149.46,2,5,Check-Out,2015-02-04
Resort Hotel,1,96,2015,April,43,14,3,4,3,1,0,SC,USA,Direct,Direct,1,2,0,B,F,0,Non Refund,388,631.0,6,Transient,149.46,0,1,Canceled,2015-03-11
City Hotel,1,106,2016,February,34,20,4,3,4,2,0,SC,NLD,Online TA,GDS,1,1,3,C,F,3,Non Refund,85,52.0,18,Contract,149.46,1,2,No-Show,2015-03-24
City Hotel,1,338,2016,September,34,13,3,5,2,1,1,FB,ITA,Offline TA/TO,Direct,1,2,4,E,F,3,No Deposit,420,661.0,8,Transient-Party,149.46,2,3,Canceled,2016-01-22
Resort Hotel,1,252,2015,August,15,24,2,9,4,1,1,BB,DEU,Offline TA/TO,Corporate,1,2,3,B,B,4,No Deposit,332,259.0,14,Transient-Party,149.46,2,1,Canceled,2017-12-28
Resort Hotel,0,229,2016,August,13,24,2,10,1,2,1,BB,PRT,Direct,Direct,1,1,1,C,E,0,Refundable,412,113.0,5,Group,149.46,2,0,Check-Out,2016-06-04
City Hotel,0,183,2017,August,50,22,3,10,2,1,1,SC,ESP,Corporate,TA/TO,0,2,4,D,A,1,No Deposit,117,521.0,17,Contract,149.46,2,2,Canceled,2017-02-22
City Hotel,0,297,2017,August,52,5,3,5,4,2,0,BB,PRT,Offline TA/TO,Direct,0,2,2,G,F,3,Refundable,388,766.0,16,Group,149.46,0,1,Check-Out,2016-06-11
City Hotel,1,282,2016,April,11,26,0,9,4,2,0,HB,Other,Direct,Corporate,1,0,4,G,B,4,Non Refund,422,906.0,17,Group,149.46,1,2,No-Show,2015-11-16
Resort Hotel,1,282,2017,July,7,24,2,5,4,2,0,BB,PRT,Direct,Corporate,0,2,4,G,F,3,No Deposit,326,134.0,7,Transient-Party,149.46,1,1,Canceled,2015-02-03
Resort Hotel,0,131,2016,July,39,25,4,2,4,1,0,HB,NLD,Online TA,Corporate,1,0,3,F,F,4,No Deposit,262,859.0,9,Group,149.46,1,5,Canceled,2017-01-01
Resort Hotel,0,295,2017,April,50,23,3,4,3,1,0,FB,PRT,Direct,GDS,0,1,0,D,A,0,No Deposit,275,791.0,18,Transient,149.46,2,2,No-Show,2017-02-28
Resort Hotel,0,398,2015,July,6,5,1,10,1,1,0,BB,Other,Direct,Direct,0,0,1,G,B,0,Non Refund,134,779.0,0,Group,149.46,1,4,Check-Out,2017-12-22
City Hotel,0,244,2016,November,45,2,4,9,2,0,0,HB,Other,Offline TA/TO,Corporate,1,2,3,F,C,2,Non Refund,279,589.0,18,Transient,149.46,2,5,No-Show,2015-07-01
Resort Hotel,1,56,2015,December,2,5,4,9,2,0,1,Undefined,NLD,Online TA,Corporate,1,2,3,D,A,4,Non Refund,470,509.0,5,Transient-Party,149.46,0,1,Canceled,2016-07-24
Resort Hotel,0,261,2016,June,18,7,4,10,2,1,0,FB,ESP,Offline TA/TO,TA/TO,1,0,0,G,C,4,Non Refund,305,727.0,5,Contract,149.46,2,4,No-Show,2017-07-08
City Hotel,1,219,2016,June,17,7,2,10,1,0,0,HB,FRA,Corporate,Corporate,1,2,1,C,C,1,No Deposit,4,303.0,3,Contract,149.46,1,5,Check-Out,2017-08-12
Resort Hotel,1,127,2017,September,48,12,2,9,4,0,1,SC,USA,Direct,Direct,1,0,0,D,F,4,No Deposit,425,966.0,6,Transient-Party,149.46,2,2,Canceled,2016-04-17
Resort Hotel,0,245,2016,April,50,7,2,6,4,1,1,FB,GBR,Offline TA/TO,Corporate,1,0,3,E,E,3,No Deposit,140,806.0,17,Transient-Party,149.46,2,1,Canceled,2016-05-25
City Hotel,1,101,2015,May,10,9,1,10,3,0,0,FB,NLD,Offline TA/TO,TA/TO,0,2,3,F,A,1,Non Refund,292,827.0,7,Group,149.46,1,1,No-Show,2016-03-22
City Hotel,0,197,2015,February,50,17,4,6,4,0,0,HB,NLD,Corporate,GDS,0,2,3,C,F,3,Refundable,239,34.0,9,Contract,149.46,2,5,Check-Out,2016-10-15
City Hotel,0,53,2015,June,44,9,4,4,1,1,0,BB,NLD,Online TA,Direct,0,0,4,A,D,2,No Deposit,129,471.0,9,Contract,149.46,0,1,Check-Out,2016-11-12
City Hotel,0,126,2016,September,17,22,2,10,3,0,1,FB,GBR,Corporate,Direct,1,1,3,C,F,1,Non Refund,110,738.0,9,Transient,149.46,2,2,Check-Out,2017-11-24
City Hotel,0,340,2017,January,13,2,2,5,4,2,0,SC,USA,Online TA,Direct,1,2,4,F,F,1,Refundable,219,267.0,11,Transient-Party,149.46,2,0,Check-Out,2016-08-23
City Hotel,0,203,2017,October,22,27,1,1,3,1,0,FB,BRA,Offline TA/TO,GDS,0,0,3,D,G,0,No Deposit,28,334.0,10,Contract,149.46,1,1,Canceled,2017-07-01
Resort Hotel,1,74,2015,June,34,24,4,7,1,1,1,FB,BRA,Direct,TA/TO,0,1,2,E,G,1,Refundable,367,835.0,12,Group,149.46,2,1,Check-Out,2016-01-27
City Hotel,0,160,2015,May,38,1,2,1,1,1,1,BB,ITA,Online TA,TA/TO,1,2,1,G,A,1,Refundable,173,261.0,15,Group,149.46,0,2,Canceled,2017-06-01
City Hotel,0,116,2017,January,51,17,0,8,2,0,0,SC,ITA,Online TA,Corporate,1,1,0,C,A,2,Refundable,301,538.0,8,Group,149.46,1,1,No-Show,2015-09-20
Resort Hotel,1,366,2015,March,25,22,2,9,1,1,0,SC,GBR,Online TA,TA/TO,0,1,0,E,B,0,No Deposit,310,798.0,9,Group,149.46,2,0,Canceled,2016-02-19
City Hotel,0,215,2017,March,3,9,2,3,4,2,1,SC,Other,Online TA,Direct,1,1,4,C,C,3,Non Refund,48,397.0,9,Contract,149.46,0,3,Check-Out,2015-02-21
City Hotel,1,302,2017,August,17,8,4,8,2,0,1,BB,NLD,Online TA,GDS,0,2,3,D,G,3,Refundable,47,250.0,7,Group,149.46,0,2,No-Show,2015-02-22
City Hotel,0,28,2016,August,9,20,1,1,4,2,1,FB,DEU,Corporate,TA/TO,0,1,0,A,A,2,Refundable,69,688.0,8,Contract,149.46,2,0,No-Show,2017-06-05
Resort Hotel,0,20,2015,February,5,4,4,1,4,1,1,SC,NLD,Corporate,GDS,1,2,3,F,A,0,Refundable,126,415.0,17,Contract,149.46,0,4,Check-Out,2017-07-13
City Hotel,1,56,2017,February,1,29,1,4,4,1,1,HB,ITA,Direct,Corporate,1,1,2,A,D,2,Non Refund,371,272.0,10,Transient-Party,149.46,2,2,Check-Out,2017-12-22
City Hotel,1,342,2015,February,15,31,1,2,1,1,1,FB,BRA,Direct,Direct,0,2,1,A,E,1,No Deposit,105,640.0,7,Group,149.46,1,3,Check-Out,2016-09-26
City Hotel,0,5,2017,August,13,27,1,10,1,2,0,SC,DEU,Corporate,Corporate,1,0,4,C,G,3,No Deposit,420,774.0,1,Group,149.46,0,5,Canceled,2016-01-03
Resort Hotel,1,304,2016,March,51,13,2,5,2,0,0,BB,ITA,Online TA,Direct,1,1,2,D,C,1,No Deposit,214,24.0,7,Group,149.46,1,5,No-Show,2015-10-21
City Hotel,1,353,2016,May,28,27,1,1,1,2,1,SC,BRA,Offline TA/TO,Direct,1,2,0,B,E,3,No Deposit,196,747.0,11,Contract,149.46,0,5,Canceled,2017-02-22
Resort Hotel,1,385,2015,August,38,25,0,1,3,2,0,Undefined,ESP,Online TA,GDS,0,0,0,C,E,0,Refundable,430,967.0,18,Transient,149.46,2,5,No-Show,2016-06-25
Resort Hotel,0,271,2015,August,39,8,4,6,1,2,0,FB,ESP,Direct,Corporate,1,2,3,A,E,1,No Deposit,168,515.0,1,Transient,149.46,2,0,Canceled,2017-02-20
City Hotel,0,292,2017,January,52,9,3,1,1,0,0,SC,ESP,Direct,TA/TO,1,2,3,G,C,3,Non Refund,312,385.0,17,Transient-Party,149.46,2,0,No-Show,2016-06-26
Resort Hotel,1,131,2017,December,48,18,2,9,1,1,1,BB,ITA,Direct,Corporate,1,2,2,D,E,1,Non Refund,227,478.0,13,Group,149.46,2,3,Canceled,2015-08-23
Resort Hotel,0,159,2016,April,44,10,4,5,4,1,1,FB,NLD,Online TA,Direct,1,2,2,C,G,4,Refundable,155,648.0,15,Contract,149.46,0,1,No-Show,2016-07-10
City Hotel,1,94,2015,September,19,15,2,1,1,2,1,BB,ITA,Corporate,Direct,0,2,3,G,B,1,No Deposit,479,139.0,18,Group,149.46,2,5,Check-Out,2015-05-27
City Hotel,1,20,2016,November,39,3,4,8,4,1,1,FB,Other,Direct,Corporate,1,1,2,A,B,3,Refundable,193,304.0,16,Transient,149.46,1,2,No-Show,2017-11-01
City Hotel,0,110,2017,September,50,31,2,3,4,1,1,HB,USA,Offline TA/TO,TA/TO,1,1,0,E,G,0,No Deposit,372,24.0,5,Transient-Party,149.46,0,2,Check-Out,2015-10-02
City Hotel,1,386,2017,July,10,22,3,4,2,1,0,FB,DEU,Online TA,Direct,1,2,2,G,B,0,No Deposit,124,849.0,18,Group,149.46,1,2,Canceled,2015-12-18
City Hotel,0,247,2015,January,43,18,2,6,3,2,0,FB,GBR,Online TA,TA/TO,0,1,3,F,G,3,Refundable,182,212.0,3,Transient-Party,149.46,1,4,No-Show,2017-11-07
City Hotel,1,372,2016,January,34,3,4,3,3,0,1,BB,BRA,Corporate,Direct,1,0,0,C,C,2,Non Refund,337,353.0,5,Contract,149.46,1,2,Check-Out,2016-05-13
City Hotel,0,294,2015,July,51,16,0,4,1,0,1,BB,NLD,Corporate,Corporate,0,1,3,G,F,0,No Deposit,115,262.0,6,Group,149.46,0,4,No-Show,2017-04-15
City Hotel,0,147,2015,September,9,14,3,7,1,0,0,HB,ESP,Corporate,TA/TO,1,0,0,F,E,0,Refundable,225,258.0,10,Transient-Party,149.46,0,0,No-Show,2015-04-02
City Hotel,0,152,2015,September,37,2,4,8,1,0,1,HB,NLD,Online TA,TA/TO,0,1,0,B,C,2,Refundable,339,148.0,2,Contract,149.46,1,3,Check-Out,2016-03-05
Resort Hotel,0,309,2016,March,48,18,4,3,2,0,1,Undefined,ITA,Offline TA/TO,GDS,1,2,2,A,A,1,Non Refund,417,19.0,11,Transient-Party,149.46,0,5,Check-Out,2017-06-14
Resort Hotel,0,289,2016,October,33,30,1,4,1,0,1,Undefined,BRA,Direct,Direct,0,0,1,C,G,4,No Deposit,116,579.0,10,Transient,149.46,1,0,Canceled,2017-01-23
Resort Hotel,1,371,2015,November,24,1,0,2,4,2,0,SC,NLD,Online TA,Direct,0,2,3,A,A,0,Refundable,218,114.0,14,Group,149.46,1,5,Canceled,2018-01-03
City Hotel,1,216,2015,January,7,19,2,6,3,2,0,FB,FRA,Offline TA/TO,Corporate,1,0,2,C,F,3,No Deposit,131,520.0,8,Contract,149.46,2,1,Check-Out,2017-03-03
City Hotel,0,68,2015,September,20,7,1,2,1,2,0,SC,USA,Online TA,Corporate,0,1,4,E,C,1,Refundable,416,121.0,8,Transient,149.46,1,5,No-Show,2015-08-19
Resort Hotel,1,359,2015,April,34,1,3,9,3,2,0,FB,ITA,Offline TA/TO,Corporate,1,2,3,D,F,2,Refundable,341,449.0,8,Transient,149.46,2,2,No-Show,2017-08-29
Resort Hotel,1,130,2017,February,37,27,3,1,4,2,0,HB,USA,Online TA,Corporate,0,1,2,D,D,2,No Deposit,59,365.0,8,Transient-Party,149.46,2,4,No-Show,2016-12-25
City Hotel,1,261,2017,January,15,25,1,1,1,2,0,BB,Other,Corporate,TA/TO,1,1,2,F,F,2,No Deposit,140,174.0,13,Group,149.46,2,4,No-Show,2016-09-15
City Hotel,1,194,2017,October,10,29,2,4,2,2,0,HB,BRA,Corporate,GDS,0,0,2,G,A,0,No Deposit,148,933.0,19,Transient-Party,149.46,2,5,Canceled,2017-11-06
Resort Hotel,0,216,2017,January,28,20,0,10,4,0,0,SC,PRT,Online TA,GDS,1,0,0,A,D,4,No Deposit,98,466.0,12,Group,149.46,1,5,Check-Out,2017-02-14
Resort Hotel,0,170,2015,May,33,23,2,3,2,2,0,Undefined,ITA,Offline TA/TO,GDS,1,2,4,D,D,0,Refundable,26,542.0,15,Transient,149.46,0,2,No-Show,2015-08-03
Resort Hotel,0,172,2016,October,48,12,1,7,2,1,0,FB,NLD,Direct,Direct,1,2,2,A,D,3,No Deposit,100,263.0,16,Group,149.46,0,3,No-Show,2015-04-24
City Hotel,1,23,2016,November,50,9,4,9,2,2,0,SC,FRA,Offline TA/TO,Direct,1,2,0,G,E,4,Refundable,13,2.0,9,Contract,149.46,2,0,Canceled,2015-12-14
Resort Hotel,0,304,2015,October,44,26,4,4,3,1,0,BB,DEU,Online TA,TA/TO,0,2,2,C,A,1,Refundable,169,993.0,11,Contract,149.46,2,2,Check-Out,2016-01-27
City Hotel,0,6,2016,March,1,13,4,4,4,1,0,Undefined,Other,Corporate,TA/TO,0,0,2,D,E,0,No Deposit,96,28.0,2,Contract,149.46,2,3,No-Show,2017-02-07
City Hotel,0,340,2016,June,37,24,3,4,1,2,1,BB,Other,Direct,GDS,0,1,3,C,F,2,Non Refund,196,441.0,8,Transient-Party,149.46,2,4,Canceled,2016-04-26
Resort Hotel,0,27,2015,March,6,25,0,8,1,2,1,Undefined,DEU,Online TA,TA/TO,0,0,0,A,G,2,Non Refund,333,137.0,6,Transient-Party,149.46,2,1,No-Show,2015-07-30
City Hotel,0,385,2016,November,8,13,4,6,3,1,1,BB,ESP,Corporate,GDS,1,1,2,A,B,0,No Deposit,13,460.0,0,Contract,149.46,2,2,No-Show,2017-10-06
Resort Hotel,0,128,2016,November,16,10,3,9,1,1,1,FB,ITA,Offline TA/TO,GDS,0,0,4,D,F,1,Non Refund,210,165.0,19,Group,149.46,1,1,Check-Out,2015-03-13
City Hotel,1,309,2015,October,45,25,0,7,1,1,0,SC,BRA,Offline TA/TO,Direct,1,1,4,E,B,3,Non Refund,340,640.0,11,Contract,149.46,0,1,Check-Out,2017-05-01
Resort Hotel,1,362,2017,May,11,8,1,1,1,0,0,SC,FRA,Corporate,Corporate,0,2,4,F,B,0,Non Refund,424,888.0,11,Transient-Party,149.46,1,4,Check-Out,2017-06-22
City Hotel,0,346,2015,April,39,1,3,3,2,1,1,BB,ITA,Corporate,Direct,0,1,3,C,E,1,Non Refund,324,574.0,4,Transient,149.46,0,5,No-Show,2017-12-12
Resort Hotel,1,386,2015,July,14,7,2,5,3,1,0,SC,GBR,Corporate,Direct,1,1,3,A,B,0,Non Refund,424,88.0,7,Contract,149.46,0,1,No-Show,2017-07-26
City Hotel,1,10,2017,February,18,23,1,4,4,0,1,BB,GBR,Corporate,Corporate,0,1,3,A,E,4,Refundable,442,214.0,8,Transient,149.46,2,3,Canceled,2016-04-25
City Hotel,1,165,2015,February,1,25,0,5,4,0,0,FB,ITA,Direct,Corporate,1,2,0,F,A,1,Refundable,270,950.0,0,Contract,149.46,0,3,Canceled,2015-10-20
City Hotel,1,32,2016,November,10,14,2,4,4,1,0,Undefined,USA,Online TA,GDS,0,0,4,E,G,0,Refundable,250,805.0,19,Group,149.46,2,0,No-Show,2016-12-23
Resort Hotel,1,190,2017,July,25,24,4,6,1,0,1,SC,BRA,Offline TA/TO,Corporate,0,2,0,F,B,2,Refundable,232,591.0,18,Transient,149.46,1,1,Check-Out,2017-09-24
City Hotel,1,132,2015,October,21,24,4,8,1,1,0,BB,GBR,Corporate,GDS,1,2,0,A,D,3,Refundable,306,80.0,10,Group,149.46,2,2,Canceled,2017-05-07
Resort Hotel,0,288,2016,March,52,27,2,6,2,1,0,Undefined,FRA,Corporate,GDS,0,2,4,D,E,2,No Deposit,22,396.0,18,Transient,149.46,1,5,No-Show,2015-10-15
City Hotel,0,82,2015,September,23,20,3,3,1,2,0,BB,FRA,Offline TA/TO,GDS,1,2,3,F,C,4,No Deposit,164,299.0,19,Transient-Party,149.46,2,4,Canceled,2015-05-14
City Hotel,0,376,2016,March,46,29,1,9,4,1,0,Undefined,DEU,Corporate,Direct,1,1,4,C,F,3,Refundable,254,816.0,12,Contract,149.46,2,1,Canceled,2015-07-15
Resort Hotel,0,27,2016,March,29,24,4,2,2,1,1,SC,ESP,Corporate,Direct,1,1,1,A,B,3,Refundable,152,570.0,17,Transient,149.46,1,1,Canceled,2016-01-18
City Hotel,0,304,2015,July,41,27,3,3,2,2,1,Undefined,DEU,Corporate,Corporate,1,1,2,F,G,4,Non Refund,60,128.0,14,Transient-Party,149.46,0,4,No-Show,2016-03-12
City Hotel,0,99,2017,May,34,29,1,2,3,2,1,FB,GBR,Corporate,Direct,1,1,3,A,E,1,No Deposit,207,917.0,14,Transient,149.46,1,4,Check-Out,2016-05-12
City Hotel,1,107,2015,June,50,31,0,5,1,1,0,FB,BRA,Online TA,Corporate,0,1,1,G,F,0,No Deposit,271,58.0,17,Group,149.46,0,2,Check-Out,2017-10-20
City Hotel,1,390,2017,March,19,19,3,5,3,2,0,HB,ITA,Direct,GDS,0,0,4,A,D,1,Refundable,300,316.0,18,Contract,149.46,1,1,Check-Out,2017-12-12
City Hotel,0,236,2015,March,7,26,4,8,2,1,1,FB,USA,Offline TA/TO,Direct,0,2,2,D,A,3,No Deposit,498,910.0,17,Transient,149.46,1,1,No-Show,2017-05-14
Resort Hotel,1,233,2016,June,38,5,2,2,1,0,1,SC,DEU,Direct,GDS,0,0,1,F,E,1,Non Refund,74,168.0,9,Contract,149.46,0,5,Canceled,2016-03-08
Resort Hotel,1,173,2017,August,49,19,4,10,1,0,0,FB,DEU,Corporate,GDS,1,1,2,G,A,4,Non Refund,418,659.0,1,Transient,149.46,2,5,Canceled,2015-01-23
Resort Hotel,1,251,2016,May,1,14,2,4,1,2,0,FB,FRA,Direct,GDS,0,0,1,G,E,4,No Deposit,285,223.0,0,Transient,149.46,2,1,Check-Out,2017-09-20
